StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,AttCheck_IsHR,AttChecks_13,AttCheck_GoalLearn1,AttCheck_GoalLearn2,AttChecks_14,loginURL,participantId,assignmentId,projectId,target,turkid,condid,Q_DataPolicyViolations
9/12/2025 19:54,9/12/2025 20:02,0,100,428,1,9/12/2025 20:02,R_6OriXPPGfbcxuPs,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,8FFD8A377311493BB0085175099606BB,01993f10-eb4d-70be-a95d-3a02d7c614ab,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,8FFD8A377311493BB0085175099606BB,0,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,16,1,9/12/2025 21:02,R_5P52vF8602IGTzB,anonymous,EN,1,1,1,1,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,09CBD050AA094F48B82D0A42F1A11347,01993f4e-1aec-7774-8e40-fed2adc393eb,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,09CBD050AA094F48B82D0A42F1A11347,1,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,30,1,9/12/2025 21:02,R_777PGXhRdP3mtdn,anonymous,EN,1,0,1,1,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,05E8A3FDE365489B818623DAE5774DBB,01993f4e-0b30-7a7f-b499-cc80ab47d444,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,05E8A3FDE365489B818623DAE5774DBB,0,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,37,1,9/12/2025 21:02,R_3NNUPQpB3PcQqtz,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,594C1B37809840A7AB34C9801D7ABA82,01993f4e-0fac-7385-84f4-94b813616aaa,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,594C1B37809840A7AB34C9801D7ABA82,1,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,53,1,9/12/2025 21:02,R_7s7QTbDCeGvj2xd,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,B4C808308BBB44908441C8E470E21B60,01993f4e-0b91-7596-ad5b-388019ba2d13,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,B4C808308BBB44908441C8E470E21B60,1,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,48,1,9/12/2025 21:02,R_1HH4ESt97XJGBeV,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,EFEA43BDF59F4A31ABBB65B53B7A4813,01993f4e-3a17-7fce-b8e5-adfc150e075d,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,EFEA43BDF59F4A31ABBB65B53B7A4813,1,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,53,1,9/12/2025 21:02,R_3KAvsWx5uhk3TvZ,anonymous,EN,1,0,1,0,0,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,679D7B03E3B84CC08DF6010BACBD95E7,01993f4e-2d58-7009-a27b-36902cc8fb74,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,679D7B03E3B84CC08DF6010BACBD95E7,0,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,51,1,9/12/2025 21:02,R_5BlPDctkijrmTvj,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,201FF15F90AF4AD4B1B2AF2A77A6231A,01993f4e-35de-7fd5-8909-8ad6a444d1d4,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,201FF15F90AF4AD4B1B2AF2A77A6231A,1,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,67,1,9/12/2025 21:02,R_3lyJPznvEO7oz1z,anonymous,EN,1,0,1,1,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,36A95EA2592748F6926A403C024A31C4,01993f4d-fda9-79f9-b3ea-3966c6c3a552,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,36A95EA2592748F6926A403C024A31C4,0,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,56,1,9/12/2025 21:02,R_39HXUOS4FO4wvjX,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,FF89870C0EBB4998A3F6DB85C025E301,01993f4e-2612-7ab4-b5ad-193a314dcb6d,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,FF89870C0EBB4998A3F6DB85C025E301,1,NA
9/12/2025 21:01,9/12/2025 21:02,0,100,66,1,9/12/2025 21:02,R_1qxseZOBFrsLmdq,anonymous,EN,1,1,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,99E67794FDA9475085B5CC00A8DE5FF5,01993f4e-1f02-7c89-b0f4-40e855583d18,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,99E67794FDA9475085B5CC00A8DE5FF5,1,NA
9/12/2025 21:02,9/12/2025 21:03,0,100,64,1,9/12/2025 21:03,R_3rlkZTbF3ZHUi9W,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,A2C3521E6A2B4866B24DB573FC5C8F37,01993f4e-427f-7a62-a212-2df0a11bdf0b,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,A2C3521E6A2B4866B24DB573FC5C8F37,0,NA
9/12/2025 21:01,9/12/2025 21:03,0,100,81,1,9/12/2025 21:03,R_12ShvNHblUonm59,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,B264D3ACA2EF47E8B5B10039A6A3AC2B,01993f4e-1119-779c-8e79-b9c34510710c,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,B264D3ACA2EF47E8B5B10039A6A3AC2B,0,NA
9/12/2025 21:01,9/12/2025 21:03,0,100,85,1,9/12/2025 21:03,R_1X96bb4nlJlsvDj,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,DA872CB354C24EB9BADDCEFCE009A1F7,01993f4e-011f-7c99-9171-3d63b0bd2f8a,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,DA872CB354C24EB9BADDCEFCE009A1F7,0,NA
9/12/2025 21:01,9/12/2025 21:03,0,100,84,1,9/12/2025 21:03,R_7nSBykyWPsG2ZsD,anonymous,EN,1,1,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,B27D12A0E5074BA0B636F5FF79F39784,01993f4e-06de-7f74-8d61-d0912584b48a,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,B27D12A0E5074BA0B636F5FF79F39784,1,NA
9/12/2025 21:01,9/12/2025 21:03,0,100,86,1,9/12/2025 21:03,R_1HLGQIqoIvUK5U0,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,EC7A3AD32E53440FB6AEF1F8DA2C8051,01993f4e-0d94-7115-9067-8a3ae2ec8590,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,EC7A3AD32E53440FB6AEF1F8DA2C8051,1,NA
9/12/2025 21:01,9/12/2025 21:03,0,100,88,1,9/12/2025 21:03,R_3MZiWntpC0WqXcM,anonymous,EN,1,0,1,0,1,https://learning-roi-dt-acdb80f29a8f.herokuapp.com/login,8AD70996DA284ECB828016DC41BD81FE,01993f4e-0fef-7696-86bd-c0687b8f013f,01993a7d-ffd4-74f9-8aa8-8283e730da98,any,8AD70996DA284ECB828016DC41BD81FE,0,NA
