StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,EasierOrHarder,ProjectChoice,Wager_1,AttImport_MV,AttImport_SA,AttImport_MS,AttImport_NC,BecameConfident,NotEnoughRound,CouldPredict,AttribUseful,AttribDiff,SubjSlope,turkid,condid,bonusearned
24/9/2019 21:44,24/9/2019 21:45,0,100,60,1,24/9/2019 21:45,R_3PaBFnYvY9yR0Wx,5,0,5,4,3,3,3,6,2,5,6,5,5,A3PKTPXXORWR97,2,20
24/9/2019 21:43,24/9/2019 21:45,0,100,130,1,24/9/2019 21:45,R_2S1f4U3xexrW3Ed,4,2,10,2,3,2,2,5,3,5,5,6,6,AUSRHMZM3R6CW,2,30
24/9/2019 21:44,24/9/2019 21:45,0,100,94,1,24/9/2019 21:45,R_2rToQ5XOapS36h6,4,2,10,2,3,4,4,6,2,5,6,5,6,A12A5GVJX5RZC4,2,30
24/9/2019 21:44,24/9/2019 21:45,0,100,97,1,24/9/2019 21:45,R_2Sko0bCMTWTwpyH,5,2,5,2,2,3,5,4,3,4,4,7,4,A3MZXFELFJGA4H,2,20
24/9/2019 21:44,24/9/2019 21:45,0,100,83,1,24/9/2019 21:45,R_3p5TGNgcifEx0MQ,5,2,10,2,4,1,2,6,6,6,6,7,6,A2EQOFJNKS7RCN,2,30
24/9/2019 21:44,24/9/2019 21:45,0,100,74,1,24/9/2019 21:45,R_31adKmj8Ft25Slk,6,1,10,1,2,4,4,6,2,6,5,6,7,A1OZPLHNIU1519,2,30
24/9/2019 21:44,24/9/2019 21:45,0,100,57,1,24/9/2019 21:45,R_29bGriFj1EKOuVP,2,2,0,2,2,2,4,1,7,1,1,5,1,A2HC9549CZAKNN,0,10
24/9/2019 21:44,24/9/2019 21:45,0,100,102,1,24/9/2019 21:45,R_pQpgtcMjGkjuzcJ,5,2,10,3,3,3,3,6,2,7,6,4,6,A12IHTKQFQIPD1,2,30
24/9/2019 21:44,24/9/2019 21:45,0,100,85,1,24/9/2019 21:45,R_1jGR27pGVv9rYlg,1,2,10,3,4,4,2,2,6,2,4,4,3,AKX9W0NF71OI7,0,30
24/9/2019 21:44,24/9/2019 21:45,0,100,108,1,24/9/2019 21:45,R_9F5FBUKSEUVANln,5,0,5,3,3,3,3,5,5,5,5,5,5,A2X823PACMMOKP,2,20
24/9/2019 21:44,24/9/2019 21:46,0,100,73,1,24/9/2019 21:46,R_vV0zdzuuSjwcxO1,5,2,5,2,1,3,4,5,6,5,5,6,6,A1DGO1HBALAIJU,0,20
24/9/2019 21:44,24/9/2019 21:46,0,100,88,1,24/9/2019 21:46,R_1jO4iwQxlkcz7Ue,3,2,5,3,4,3,4,5,3,5,5,6,6,A2Q1C7AXB3U84W,0,20
24/9/2019 21:45,24/9/2019 21:46,0,100,75,1,24/9/2019 21:46,R_1gncf9rRCbz07Ou,3,1,10,3,2,4,4,5,2,6,5,6,4,A2CEGS0NVDBCPT,2,30
24/9/2019 21:44,24/9/2019 21:46,0,100,90,1,24/9/2019 21:46,R_3I9IErUHB3CFJPs,4,2,10,3,3,3,5,5,4,5,5,6,6,A9O273N0X06JS,2,30
24/9/2019 21:44,24/9/2019 21:46,0,100,100,1,24/9/2019 21:46,R_1MLGyAEN23o5Cix,3,1,10,2,2,4,3,3,7,2,4,5,2,ALDQRWYZ8KQ9A,0,30
24/9/2019 21:45,24/9/2019 21:46,0,100,49,1,24/9/2019 21:46,R_2pY7DInwerGU7PI,6,0,8,5,3,4,3,7,3,7,7,7,7,A16TP8YGKE1FJ5,2,26
24/9/2019 21:45,24/9/2019 21:46,0,100,74,1,24/9/2019 21:46,R_2VkZEkaMTgc5TfT,5,1,1,2,2,4,3,6,2,6,6,6,4,A1CSJFRAS32VFJ,0,12
24/9/2019 21:45,24/9/2019 21:46,0,100,48,1,24/9/2019 21:46,R_1CdMGgxxAlg56M9,6,2,10,2,3,4,5,6,2,5,6,6,7,A1CC1ESUM2JWJ2,2,30
24/9/2019 21:45,24/9/2019 21:46,0,100,73,1,24/9/2019 21:46,R_3hE1ZlMmD5HjBaE,4,2,1,2,2,3,5,5,5,5,5,6,6,A3ANJRMHMVC97K,2,12
24/9/2019 21:45,24/9/2019 21:46,0,100,89,1,24/9/2019 21:46,R_UF51yoq8yBBFn8J,5,0,10,5,4,4,2,7,1,7,7,7,7,A3PNUKFE80TO9Z,2,30
24/9/2019 21:45,24/9/2019 21:46,0,100,78,1,24/9/2019 21:46,R_1FLOo79KdpqkvHV,5,1,8,3,2,4,4,5,2,6,6,6,7,A1W9G8QEYMQ19K,2,26
24/9/2019 21:45,24/9/2019 21:46,0,100,68,1,24/9/2019 21:46,R_qWvIMnRpSYEH8aJ,3,2,2,2,1,4,5,2,3,5,2,5,4,A1MXE9QGRV61MW,2,14
24/9/2019 21:45,24/9/2019 21:46,0,100,87,1,24/9/2019 21:46,R_cYzQVseHbsWtRgR,2,0,5,3,5,2,2,5,6,4,5,7,5,A2VXEPC4KG1CWU,0,20
24/9/2019 21:45,24/9/2019 21:46,0,100,97,1,24/9/2019 21:46,R_1QzLrr7J01jWC40,3,2,10,4,5,4,4,5,5,4,5,6,3,AH4YPX4FVWMSY,0,30
24/9/2019 21:45,24/9/2019 21:46,0,100,104,1,24/9/2019 21:46,R_6hE66fZjf2jPu5r,2,2,5,4,2,4,3,5,2,5,5,6,3,A168B0VAQ1RXKB,0,20
24/9/2019 21:46,24/9/2019 21:46,0,100,52,1,24/9/2019 21:46,R_31cKZEYH8pguZwI,5,1,10,3,2,5,5,5,2,6,6,6,5,A1UY2W2FL9CWN,0,30
24/9/2019 21:44,24/9/2019 21:46,0,100,127,1,24/9/2019 21:46,R_1GIdJHOuFb40wAp,3,2,10,3,2,3,1,5,6,4,5,6,6,ANVXAMUEBGV8N,0,30
24/9/2019 21:46,24/9/2019 21:46,0,100,45,1,24/9/2019 21:46,R_RLEJwvPBq1FOn0B,2,0,10,4,2,2,2,3,2,5,6,5,5,A1Z0YMGUC86KC5,0,30
24/9/2019 21:46,24/9/2019 21:47,0,100,52,1,24/9/2019 21:47,R_2AHlyKrEQDO4XoF,6,0,10,4,2,2,2,7,2,7,7,7,7,A2C7A6E70NYNUI,2,30
24/9/2019 21:45,24/9/2019 21:47,0,100,107,1,24/9/2019 21:47,R_1re5vBsxM7T35rR,4,1,4,3,5,4,2,5,6,5,5,5,5,A2MCG5W6LHSRG9,0,18
24/9/2019 21:46,24/9/2019 21:47,0,100,62,1,24/9/2019 21:47,R_2TQTrtsYXU4n90C,2,0,10,2,3,1,1,3,5,3,3,5,2,ALF9AAZGQP4K5,0,30
24/9/2019 21:46,24/9/2019 21:47,0,100,58,1,24/9/2019 21:47,R_Wrf35kOAKM6Admp,5,2,10,3,2,4,4,5,2,5,5,5,5,A3B1SQFC7YFOV,0,30
24/9/2019 21:46,24/9/2019 21:47,0,100,45,1,24/9/2019 21:47,R_3PMJs8zp83kNQgH,7,2,5,4,5,2,3,3,5,6,6,5,6,A100DH6ZVHB9EP,2,20
24/9/2019 21:45,24/9/2019 21:47,0,100,118,1,24/9/2019 21:47,R_2gkVBHxmA8SIpNv,3,2,10,3,3,3,3,2,4,2,4,4,2,AC47RDUMYXM4P,0,30
24/9/2019 21:46,24/9/2019 21:47,0,100,73,1,24/9/2019 21:47,R_1doR9fV1aeLb2Lm,2,1,0,3,4,2,3,3,5,4,3,5,5,AHI4FABU79VTP,0,10
24/9/2019 21:44,24/9/2019 21:47,0,100,175,1,24/9/2019 21:47,R_1jJTLLgbi72cmeD,2,1,10,4,3,2,3,5,4,5,5,6,4,A17TKHT8FEVH0R,0,30
24/9/2019 21:45,24/9/2019 21:47,0,100,140,1,24/9/2019 21:47,R_2Sf3zfBunbBaYsv,6,2,10,4,4,4,4,7,1,7,7,6,7,AF49Z1Q86AEXC,2,30
24/9/2019 21:46,24/9/2019 21:47,0,100,55,1,24/9/2019 21:47,R_3hngcu7Hd7dilFf,1,1,10,3,4,2,2,1,6,2,6,6,3,A11TREGDHSUSJW,0,30
