turkid,round,choice,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion
A1A4FV99I596WA,15,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:37Z,6.546999931335449,138
A1A4FV99I596WA,16,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:43Z,6.210000038146973,138
A1A4FV99I596WA,17,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:47Z,3.9709999561309814,138
A1A4FV99I596WA,18,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:51Z,4.196000099182129,138
A1A4FV99I596WA,19,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:55Z,3.2179999351501465,138
A1A4FV99I596WA,20,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:58Z,3.7799999713897705,138
A2J18K5IUQ2K4G,1,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:40Z,0,200
A2J18K5IUQ2K4G,2,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:49Z,9.139999866485596,200
A2J18K5IUQ2K4G,3,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:58Z,8.647000074386597,200
A2J18K5IUQ2K4G,4,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:10Z,12.589999914169312,200
A2J18K5IUQ2K4G,5,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:18Z,7.884999990463257,200
A2J18K5IUQ2K4G,6,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:26Z,7.818000078201294,200
A2J18K5IUQ2K4G,7,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:33Z,6.758000135421753,200
A2J18K5IUQ2K4G,8,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:45Z,12.17199993133545,200
A2J18K5IUQ2K4G,9,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:14Z,28.759999990463257,200
A2J18K5IUQ2K4G,10,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:19Z,4.806999921798706,200
A2J18K5IUQ2K4G,11,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:23Z,4.799999952316284,200
A2J18K5IUQ2K4G,12,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:32Z,8.59000015258789,200
A2J18K5IUQ2K4G,13,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:37Z,4.829999923706055,200
A2J18K5IUQ2K4G,14,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:45Z,8.098000049591064,200
A2J18K5IUQ2K4G,15,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:55Z,10.52999997138977,200
A2J18K5IUQ2K4G,16,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:43:07Z,11.543999910354614,200
A2J18K5IUQ2K4G,17,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:43:11Z,3.823000192642212,200
A2J18K5IUQ2K4G,18,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:43:16Z,5.241999864578247,200
A2J18K5IUQ2K4G,19,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:43:25Z,8.549999952316284,200
A2J18K5IUQ2K4G,20,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:43:39Z,14.371999979019165,200
A324KCBTOD3P6Y,1,0,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:40:24Z,0,152
A324KCBTOD3P6Y,2,1,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:40:35Z,10.622000217437744,152
A324KCBTOD3P6Y,3,0,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:40:45Z,10.455999851226807,152
A324KCBTOD3P6Y,4,0,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:40:54Z,9.095999956130981,152
A324KCBTOD3P6Y,5,2,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:40:59Z,4.815999984741211,152
A324KCBTOD3P6Y,6,1,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:41:07Z,7.616000175476074,152
A324KCBTOD3P6Y,7,0,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:41:13Z,6.2159998416900635,152
A324KCBTOD3P6Y,8,1,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:41:21Z,8.30400013923645,152
A324KCBTOD3P6Y,9,1,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:41:29Z,7.543999910354614,152
A324KCBTOD3P6Y,10,1,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:41:38Z,8.712000131607056,152
A324KCBTOD3P6Y,11,1,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:41:44Z,6.559999942779541,152
A324KCBTOD3P6Y,12,0,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:41:50Z,5.983999967575073,152
A324KCBTOD3P6Y,13,2,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:41:55Z,4.74399995803833,152
A324KCBTOD3P6Y,14,2,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:42:01Z,6.424000024795532,152
A324KCBTOD3P6Y,15,0,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:42:08Z,6.921000003814697,152
A324KCBTOD3P6Y,16,0,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:42:14Z,5.622999906539917,152
A324KCBTOD3P6Y,17,1,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:42:21Z,7.465000152587891,152
A324KCBTOD3P6Y,18,2,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:42:28Z,7.078999996185303,152
A324KCBTOD3P6Y,19,2,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:42:34Z,5.8409998416900635,152
A324KCBTOD3P6Y,20,2,2,Strongly Increasing,2019-09-24 19:40:13,2019-09-24 19:42:45,2019-09-24T19:42:40Z,5.726999998092651,152
AM7Y47LTJKDAN,1,0,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:40:58Z,0,203
AM7Y47LTJKDAN,2,2,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:41:11Z,12.835000038146973,203
AM7Y47LTJKDAN,3,0,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:41:23Z,11.837000131607056,203
AM7Y47LTJKDAN,4,0,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:41:32Z,9.067999839782715,203
AM7Y47LTJKDAN,5,2,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:41:42Z,9.368000030517578,203
AM7Y47LTJKDAN,6,1,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:41:49Z,7.084000110626221,203
AM7Y47LTJKDAN,7,0,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:42:01Z,11.929999828338623,203
