StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DV_1,DV_2,DV_3,DV_4_R,CouldLearn_1,CouldLearn_2,CouldLearn_3,1_Hook,1_Length,1_Tone,1_Content,1_CTA,2_Hook,2_Length,2_Tone,2_Content,2_CTA,EdgeProbability,turkid,condid,replicate
4/24/2024 23:39,4/24/2024 23:43,0,100,213,1,4/24/2024 23:43,R_27V6URsf0Icb1sJ,2,2,1,-2,1,1,0,0,0,1,2,1,0,0,0,0,0,90,5c5a093738e69b0001dd9343,1,0
4/24/2024 23:40,4/24/2024 23:43,0,100,175,1,4/24/2024 23:43,R_2no8DLX34joM78Z,2,2,2,-2,1,1,1,1,0,1,1,1,0,2,1,2,0,100,66297081cf92682d528ef4b6,1,3
4/24/2024 23:39,4/24/2024 23:43,0,100,228,1,4/24/2024 23:43,R_27UUUlYFZYrIUep,2,2,2,-2,2,1,1,1,1,1,1,1,2,2,0,0,0,100,5fec4bf28fd71dda83c7f34e,1,1
4/24/2024 23:42,4/24/2024 23:43,0,100,80,1,4/24/2024 23:43,R_5LeDdWR1fAJbGrV,2,2,2,-2,2,2,2,2,2,0,1,0,0,0,0,0,1,70,5ef3efcb420ab11a45a0b8a6,1,1
4/24/2024 23:41,4/24/2024 23:43,0,100,153,1,4/24/2024 23:43,R_4QavpD74HmDraKh,2,1,1,-2,1,1,1,2,0,0,1,0,1,2,1,2,1,90,6148ee933093eb6be1edf761,0,3
4/24/2024 23:43,4/24/2024 23:44,0,100,75,1,4/24/2024 23:44,R_5Klt9OLZ7spBDeM,2,2,1,-2,2,1,0,1,2,1,2,1,1,0,0,1,0,85,662709c30570cd731e587591,1,1
4/24/2024 23:42,4/24/2024 23:44,0,100,101,1,4/24/2024 23:44,R_10ubteOV2fFHrWt,1,1,1,0,1,1,1,0,0,1,0,0,2,2,0,2,1,90,5c643f1140c2610001424b7f,0,0
4/24/2024 23:41,4/24/2024 23:44,0,100,179,1,4/24/2024 23:44,R_2s6NVB8508BLZmb,2,1,2,-1,1,1,1,0,0,0,2,1,2,2,1,0,0,95,5e9ffbdcaf81220009abc94f,1,2
4/24/2024 23:42,4/24/2024 23:44,0,100,163,1,4/24/2024 23:44,R_2KqMjB9Tx0lO1fq,1,1,0,-1,1,0,0,0,1,1,1,1,2,2,0,0,0,80,60fc14b7339c9fc0dc0ab317,1,4
4/24/2024 23:43,4/24/2024 23:45,0,100,103,1,4/24/2024 23:45,R_15xpx5fVsDue5qh,2,2,2,-2,2,2,2,0,1,0,0,0,1,2,1,2,1,90,5601ab2ea66d100012d5c38a,0,4
4/24/2024 23:44,4/24/2024 23:45,0,100,94,1,4/24/2024 23:45,R_1flEWuAA1fJCG4Y,2,2,2,-2,2,0,2,2,0,0,1,0,0,0,1,0,0,80,5aa936ec6475f90001a07e59,1,1
4/24/2024 23:43,4/24/2024 23:45,0,100,156,1,4/24/2024 23:45,R_2pxpt1mKbNRbD9E,2,2,2,-2,1,1,1,0,0,1,1,1,1,2,0,0,0,70,5d20e5aea3262d0017af1588,1,0
4/24/2024 23:43,4/24/2024 23:46,0,100,155,1,4/24/2024 23:46,R_1puFbog5LM2rPec,1,2,2,-1,1,2,1,2,1,0,2,1,1,0,1,0,0,90,66297498a5071056d9c6a626,0,1
4/24/2024 23:44,4/24/2024 23:46,0,100,125,1,4/24/2024 23:46,R_6YPU3aSDYRRGllL,2,2,2,-2,2,1,2,2,2,1,2,0,0,0,0,0,0,100,634c48cd5280c359cf6f5721,1,3
4/24/2024 23:44,4/24/2024 23:46,0,100,111,1,4/24/2024 23:46,R_3pARmgfXPNhvBbb,0,0,0,0,-1,-1,0,2,0,0,0,0,2,1,1,0,1,55,55c09e19fdf99b16c1fa925d,0,0
4/24/2024 23:45,4/24/2024 23:46,0,100,82,1,4/24/2024 23:46,R_3KuTIQKjc6WR13b,2,2,2,-2,1,1,2,2,2,1,1,1,0,0,1,2,0,100,60fd385d1d3245d00162023e,1,3
4/24/2024 23:44,4/24/2024 23:47,0,100,230,1,4/24/2024 23:47,R_2ClSwUIZZTiBqP0,2,1,2,-2,1,1,0,2,2,1,2,0,0,0,0,0,1,90,5eff51c5bfbd094cb6252800,1,0
4/24/2024 23:46,4/24/2024 23:48,0,100,117,1,4/24/2024 23:48,R_5HRe5kLtBfDahA1,1,1,0,0,-2,-1,-1,1,2,0,1,0,1,1,1,0,1,70,614ee347a57616853a7b1356,0,0
4/24/2024 23:46,4/24/2024 23:48,0,100,133,1,4/24/2024 23:48,R_1NESsaRB8IrD0ih,2,2,2,-2,1,2,1,1,0,0,2,0,2,2,1,0,1,85,59b58976773f4100014879ec,1,3
4/24/2024 23:42,4/24/2024 23:48,0,100,362,1,4/24/2024 23:48,R_2sbnRR97wWWK8wh,2,2,2,-1,1,1,1,0,1,0,1,1,1,0,1,0,0,70,6017642fbe88ba2b560e16ff,0,2
4/24/2024 23:46,4/24/2024 23:48,0,100,101,1,4/24/2024 23:48,R_2yTIvQJrK3F1TTH,1,2,0,-1,0,-1,0,0,0,0,0,0,2,2,1,2,1,85,5ba41fb90611410001081666,0,2
4/24/2024 23:46,4/24/2024 23:48,0,100,105,1,4/24/2024 23:48,R_2xQQZe7hDgHzm4V,2,2,1,1,1,1,1,1,2,0,0,1,2,0,1,1,0,75,640127622027c81567db087f,0,4
4/24/2024 23:45,4/24/2024 23:48,0,100,155,1,4/24/2024 23:48,R_3PhMS9qUDiM81U0,1,1,1,0,2,1,1,0,0,0,0,0,2,1,1,1,1,95,5dcbfe12d872a4895d4e6919,0,1
4/24/2024 23:47,4/24/2024 23:49,0,100,136,1,4/24/2024 23:49,R_2xR8kg5CkMnmWC0,2,2,2,-2,2,2,1,0,0,1,0,0,1,1,0,1,1,85,614793a7be62637e6a2ccf3e,0,3
4/24/2024 23:48,4/24/2024 23:49,0,100,79,1,4/24/2024 23:49,R_71cuI3DfXtMgmDb,1,1,1,-1,1,1,1,2,1,0,1,0,0,0,1,0,1,100,66295aab7a86d65b9a87447d,1,1
4/24/2024 23:46,4/24/2024 23:49,0,100,156,1,4/24/2024 23:49,R_81MfkURQDfNWx7H,1,1,-1,-1,1,1,1,2,1,1,1,1,1,2,0,0,0,90,59ff8226ab721b0001ef6e61,1,3
4/24/2024 23:46,4/24/2024 23:49,0,100,199,1,4/24/2024 23:49,R_6Xnp63kbxheGBfr,2,2,2,-2,1,1,1,2,2,1,1,1,0,1,0,2,0,100,611004bb14ee1de34195cb04,1,1
4/24/2024 23:48,4/24/2024 23:50,0,100,128,1,4/24/2024 23:50,R_2syqD7Fnm3OI5IA,2,2,2,-2,1,2,2,1,1,1,0,0,0,0,0,0,1,100,660c30d0233d666ddcfd69ad,1,3
4/24/2024 23:48,4/24/2024 23:50,0,100,111,1,4/24/2024 23:50,R_6v5W0rIXpYNOq9H,2,2,2,-2,1,1,1,0,0,0,0,0,1,1,1,1,1,95,57b715b842195e000159f82b,0,2
4/24/2024 23:48,4/24/2024 23:50,0,100,139,1,4/24/2024 23:50,R_2A1qkYoNUEqxxN7,1,1,1,-1,2,2,2,0,0,0,1,1,2,2,1,0,0,100,5a9012adf053610001718912,1,4
4/24/2024 23:47,4/24/2024 23:50,0,100,206,1,4/24/2024 23:50,R_2mJf0YNYECLhxdM,1,1,1,-1,1,1,0,0,1,0,1,1,1,2,1,2,0,75,60a7d8f45174b6633c940a15,0,3
4/24/2024 23:48,4/24/2024 23:51,0,100,142,1,4/24/2024 23:51,R_323dnCs7igxvLjb,1,1,1,-1,1,1,0,2,0,0,0,0,2,1,0,1,1,85,579e352f4d107800016dd96e,0,0
4/24/2024 23:48,4/24/2024 23:51,0,100,149,1,4/24/2024 23:51,R_3HtMGpq7mrIsvTH,2,2,1,-1,1,1,1,2,1,0,1,0,0,2,1,0,1,80,6303c94be7331161d7bb9f19,1,0
4/24/2024 23:49,4/24/2024 23:51,0,100,100,1,4/24/2024 23:51,R_8Y4lbxETkNpZZlS,1,2,1,-1,1,1,1,1,0,0,2,1,0,2,0,0,1,75,63d7a79e2606216262545e75,0,0
4/24/2024 23:48,4/24/2024 23:51,0,100,182,1,4/24/2024 23:51,R_6yf3rhAygkUV7d7,2,1,1,-1,1,1,1,2,2,0,1,1,1,0,1,1,0,80,643af3570582668c2496d536,1,3
4/24/2024 23:47,4/24/2024 23:51,0,100,242,1,4/24/2024 23:51,R_68f9r8xSYqyuehX,2,2,2,-1,1,0,-1,1,2,1,2,1,0,1,0,0,1,100,5d94f81f78648a0018f9c3ed,1,2
4/24/2024 23:49,4/24/2024 23:51,0,100,145,1,4/24/2024 23:51,R_7oNEeC6v9QsuJ6V,2,2,2,-2,1,1,1,1,1,0,2,0,0,0,1,1,1,100,6346921046fa377ce55acbc1,1,4
4/24/2024 23:50,4/24/2024 23:51,0,100,88,1,4/24/2024 23:51,R_2uVCI6WEJZj43gv,1,1,1,-1,1,1,1,1,1,0,1,1,2,2,0,0,0,85,5ff090bc539a38452f1f9a06,1,3
